latitude,longitude,name
43.017118,10.586558,campiglia marittima|campiglia m.ma
41.552116,12.635125,campo di carne
42.007967,14.041492,campo di giove
41.993262,14.069088,campo di giove-monte maiella|campo g.-monte m
40.879143,15.129255,campo di nusco
46.869076,11.488231,campo di trens
41.558137,14.66393,campobasso
37.636256,12.733165,campobello di mazara|campobello di m.
37.265731,13.946251,campobello ravanusa|campobello rav.
45.505721,11.900894,campodarsego
37.992615,13.876549,campofelice
37.510105,13.686777,campofranco
41.285869,14.726853,campolattaro
41.642396,12.648341,campoleone
41.642573,14.76544,campolieto monacilioni|campolieto m.
44.530909,8.700878,campoligure masone|campoligure m.
40.550772,16.086766,campomaggiore
41.957398,15.042416,campomarino
40.68139,8.638875,campomela
43.937241,11.303593,campomigliaio
44.161448,10.334849,camporgiano
45.568922,11.928293,camposampiero
44.787527,11.143587,camposanto
43.261104,11.971245,camucia cortona
41.710587,12.621758,cancelliera
40.993063,14.418877,cancello
41.063369,14.02901,cancello arnone
41.151439,15.533163,candela
41.151166, 15.533233,candela-s.agata di puglia|candela-sant'agata di puglia
45.547433,8.100103,candelo
45.329824,7.891819,candia canavese
45.179911,8.593156,candia lomellina
41.346664,15.996588,candida
44.961155,7.598973,candiolo
45.977489,8.419715,candoglia ornavasso|candoglia ornav.
45.569235,8.926593,canegrate
44.716716,8.294544,canelli
42.391578,13.029159,canetra
37.359879,13.855395,canicatti`|canicatti'
40.716116,8.526395,caniga
43.019591,12.628709,cannara
41.294583,16.146169,canne della battaglia|canne d.battag.
45.150200, 10.371569,canneto sull'oglio
45.150211,10.37147,canneto sull`oglio|canneto s/oglio
37.54711,15.129698,cannizzaro
41.218556,16.053906,canosa di puglia
44.864787,8.551357,cantalupo
41.5174,14.6671,cantalupo del sannio|cantalupo del s.
45.838001,8.907547,cantello gaggiolo
45.716236,9.099284,cantu`- cermenate|cantu'-cermenate
45.752316,9.130321,cantu`|cantu'
45.848767,9.270128,canzo|canzo-asso
45.042048,9.868157,caorso
40.454518,15.013551,capaccio roccadaspide|capaccio|capaccio roccadaspide
38.171794,13.232398,capaci
42.407974,11.370982,capalbio
41.830713,12.568884,capannelle
41.97051,13.399276,capistrello
39.558342,15.874052,capo bonifati
38.157941,14.744844,capo d`orlando-naso|capo d'orlando|capo d'orlando-naso
37.924778,16.058342,capo spartivento
43.563563, 11.856776,capolona
42.059369,13.372468,cappelle-magliano|cappelle-magl.
45.443871,9.640015,capralba
42.245195,12.157194,capranica
42.245159, 12.157164,capranica-sutri
42.303815,12.258238,caprarola
41.44279,14.070664,capriati al volturno|capriati al v.
45.64556,9.933806,capriolo
45.938764,13.517494,capriva
41.101306,14.210347,capua
45.676451,9.252304,carate-calo`|carate-calo'
45.491158,9.637723,caravaggio
44.860173,8.853772,carbonara scrivia|carbonara scriv.
44.246876,11.09618,carbona|locate varesino - carbonate
38.17495,13.296897,cardillo zen|cardillo z.e.n.
44.831303,8.470474,carentino
39.496884,16.952018,cariati
45.697094,9.107188,carimate
38.147696,13.186624,carini
38.16149,13.219641,carini torre ciachea|carini torre c.
45.403164,8.21249,carisio
44.846944,7.72797,carmagnola
45.621354,11.714891,carmignano di brenta|carmignano di br
45.653072,9.375089,carnate usmate
46.373634,13.132847,carnia
38.034475,14.443761,caronia
45.59392,9.048774,caronno - pertusella|caronno pertusella
40.737337,17.683791,carovigno
41.712485,14.299732,carovilli-roccasicura|carovilli-roccas
45.860056, 11.661192,carpane'-valstagna|carpanè valstagna
45.860128,11.661183,carpane`valstagna|carpane'valstag.
44.782919,10.891952,carpi
45.528934,8.422898,carpignano sesia|carpignano
41.588038,14.326783,carpinone
44.051239,10.062927,carrara avenza
42.026506,13.720179,carrito-ortona
44.479548,7.891414,carru` clavesana|carru' clavesana
37.694344,15.196143,carruba
42.09578,13.080388,carsoli
45.705768, 9.198919,carugo - giussano
41.788327,12.60431,casabianca
41.738109,14.849602,casacalenda guardialfiera|casacalenda g.
40.799021,16.647908,casal sabini
42.193653,14.633045,casalbordino pollutri|casalbordino p.
40.214093,15.686095,casalbuono
45.255398,9.962361,casalbuttano
45.133928,8.460292,casale monferrato|casale monferr.
45.160434,8.44055,casale popolo
44.474298,11.276097,casalecchio di reno|casalecchio r.
44.482995,11.272474,casalecchio garibaldi|casalecchio g.
45.491298,8.490369,casaleggio
45.408641,9.631746,casaletto vaprio
44.585537,10.736035,casalgrande
44.993139,10.425023,casalmaggiore
40.915559,14.35296,casalnuovo
45.182473,9.653627,casalpusterlengo
45.953002,12.8406,casarsa
43.674542,10.545225,cascina
45.176095,7.644518,caselle torinese
41.068655,14.328457,caserta
44.593873,10.856774,casinalbo
43.328581,10.662975,casino di terra
45.786028,9.275375,casletto-rogeno
45.710915, 9.040187,caslino al piano
45.835115, 9.232204,caslino d'erba
45.675075,8.743954,casorate sempione|casorate semp.
40.907762,14.29874,casoria
40.907840, 14.298453,casoria-afragola
45.746243,9.279834,cassago-nibionno-bulciago|cassago-n.-b.
